smiles,antibiotic_activity,mol_weight,clogp,clogp_6.5
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)/C(=N/OCC(=O)O)c3csc(N)n3)C2SC1,0,453.458,-0.5448,0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,1,395.422,-0.1718,0
C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,0,584.673,4.53124,0
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,0,562.67,7.50404,1
C=CCC1(C(C)CCC)C(=O)N=C([S-])NC1=O.[Na+],0,276.337,-1.4516,0
C=CCCCCCCCCC(=O)O,0,184.279,3.3778,0
C=CCCCCCCCCC(=O)[O-].C=CCCCCCCCCC(=O)[O-].[Zn+2],0,431.932,4.0837,0
C=CCCCCCCCCCCCC(O)CC(O)CO,0,286.456,3.5677,0
C=CCCCCCCCCCCCc1ccco1,0,248.41,5.9091,0
C=CCN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,0,363.841,1.7232,0
C=CCN=C=S,0,99.158,1.2752,0
C=CCNC(N)=S,0,116.189,0.0056,0
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl.O=S(=O)(O)O,0,395.264,3.481,0
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0,383.904,0.9365,0
C=CCSCC=C,0,114.213,2.0916,0
C=CCSC[C@@H](N)C(=O)O,0,161.226,0.3175,0
C=CCSSCC=C,0,146.28,2.7398,0
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/C3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0,804.031,4.639,0
C=CC[C@]1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,0,310.437,4.2756,0
C=CC[C@]1(O)CCC2[C@@H]3CCC4=CCCC[C@@H]4C3CC[C@@]21C,0,300.486,5.2564,0
C=CC[N+]1([C@H]2CC3C4CCC5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)C4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1.[Br-],0,609.69,1.4115,0
C=CCc1cc(OC)c2c(c1OC)OCO2,0,222.24,2.161,0
C=CCc1ccc(O)c(OC)c1,0,164.204,2.1293,0
C=CCc1ccc(OC)cc1,0,148.205,2.4237,0
C=CCc1ccc2c(c1)OCO2,0,162.188,2.1438,0
C=CCc1ccccc1OCC(O)CNC(C)C.Cl,0,285.815,2.5746,0
C=C[C@@](C)(O)CCC1C(=C)C[C@H](OC(C)=O)C2C(C)(C)CCCC12C,0,348.527,5.044,0
C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](O)[C@@H](O)C1C(C)(C)CC[C@H](O)[C@@]12C,0,368.47,0.9491,0
C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)C1C(C)(C)CC[C@H](O)[C@@]12C,0,410.507,1.5199,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,520.579,-0.3199,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12,0,396.487,4.354,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0,324.424,3.1732,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl,0,360.885,3.595,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12,0,294.398,3.1646,0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,0,294.398,3.1646,0
C=C[C@](C)(O)CCC=C(C)C,0,154.253,2.6698,0
C=C[C@](C)(O)CC[C@H]1[C@@](C)(O)CC[C@H]2C(C)(C)CCC[C@@]21C,0,308.506,4.6972,0
CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1nc(C)c3ccccc3n1)C(=O)N2C,0,474.569,1.14492,0
CC#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,429.604,5.4065,0
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,0,319.407,2.9187,0
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,0,236.278,-1.4238,0
CC(=O)C1C(=O)C=C(C)OC1=O,0,168.148,0.2213,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0,308.333,3.6096,0
CC(=O)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,330.556,7.5013,1
CC(=O)CC1CCCCN1.Cl,0,177.675,1.5294,0
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0,278.312,0.193,0
CC(=O)CCc1ccc(OC(C)=O)cc1,0,206.241,2.1335,0
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,0,791.115,-0.9884,0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,0,656.8,0.4261,0
CC(=O)N1CCN(c2ccc(OCC3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0,531.44,4.2058,0
CC(=O)NC1CCSC1=O,0,159.21,0.1546,0
CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,0,515.531,0.77974,0
CC(=O)NCCCCCC(=O)O,0,173.212,0.7675,0
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],0,400.488,-2.2652,0
CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,0,537.433,1.732,0
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0,337.351,1.1236,0
CC(=O)NO,0,75.067,-0.4883,0
CC(=O)NS(=O)(=O)c1ccc(N)cc1,0,214.246,0.0936,0
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,0,362.363,1.4619,0
CC(=O)N[C@@H](CC(C)C)C(=O)O,0,173.212,0.6218,0
CC(=O)N[C@@H](CCC(N)=O)C(=O)O,0,188.183,-1.1588,0
